"";"classe 1";"classe 2";"classe 3";"classe 4"
"seguir";0,216;0,618;0,063;0,898
"seguidor";0,048;0,216;0;0,251
"recente";0,367;0,367;0,084;0,885
"pt";0,48;0,48;0,034;0,35
"próximo";0,48;0,046;0,123;0,756
"próprio";0,216;0,014;0,693;0,251
"prazo";0,001;0,143;0,16;0,395
"pior";0,001;0,082;0,413;0,313
"petrobras";0;0,063;0,074;0,28
"pessoa";0,768;0,281;0,028;0,28
"passado";0,086;0,328;0,058;0,251
"nacionalismo";0,143;0,143;0;0,395
"melhor";0,004;0,108;0,531;0,35
"imprensa";0,367;0,082;0,379;0,014
"extremo";0,216;0,216;0,009;0,898
"década";0,618;0,014;0,058;0,898
"cultura";0,048;0,328;0,721;0,372
"colocar";0,191;0,372;0,891;0,447
"ciência";0,191;0,046;0,209;0,447
"certo";0,891;0,258;0,838;0,273
"bom";0,204;0,281;0,846;1
"biden";0,063;0,04;0,548;0,28
"avanço";0,367;0,109;0,413;0,885
"adotar";0,063;0,063;0;1
"sair";0,835;0,372;0,891;0,447
"preocupação";0,001;0,143;0,16;0,395
"longo";0,48;0,845;0,228;0,35
"lado";0,108;0;0,123;0,35
"italiano";0,082;0;0,095;0,313
"ideia";0,063;0,005;0,322;1
"ganhar";0,063;0;0,074;0,28
"estratégia";0,258;0,891;0,838;0,273
"difícil";0,891;0,258;0,838;0,273
"câmara";0,372;0,835;0,891;0,447
"conservador";0,063;0,768;0,003;0,28
"cientista";0,063;0,281;0;0,28
"banco";0,005;0,768;0,074;0,28
"ascensão";0,48;0,48;0,228;0,756
"voto";0,372;0,372;0,209;0,447
"volta";0,443;0,367;0,976;0,885
"tradicional";0,108;0,004;0,531;0,35
"reduzir";0,109;0,082;0,976;0,885
"rede";0,082;0,082;0,01;0,194
"rcifrão";0,007;0,258;0,277;0,511
"proposta";0,136;0,143;0,549;0,395
"processo";0,443;0,443;0,095;0,885
"parlamentar";0,443;0,367;0,095;0,014
"número";0,143;0,143;0,549;0,001
"mudar";0,136;0,632;0,16;0,61
"motivo";0,108;0,108;0;0,35
"limite";0,367;0,367;0,084;0,885
"liberdade";0,108;0,108;0,531;0
"internacional";0,143;0,136;0,549;0,395
"institucional";0,367;0,367;0,976;0,014
"impossível";0,082;0,015;0,413;0,885
"ideológico";0,273;0,48;0,772;0,35
"guedes";0;0,108;0,123;0,35
"garantir";0,632;0,613;0,16;0,061
"funcionar";0,191;0,191;0,891;0
"falar";0,891;0,258;0,135;0,511
"existir";0,191;0,191;0,891;0
"europeu";0,108;0,845;0,531;0,005
"esperar";0,367;0,001;0,095;0,313
"encontrar";0,48;0,273;0,531;0,756
"efeito";0,136;0,143;0,686;0,61
"decisão";0,013;0,632;0,16;0,395
"curto";0,046;0,835;0,209;0,447
"controlo";0,845;0,48;0,772;0,756
"constitucional";0,191;0,002;0,209;0,447
"cair";0,109;0,082;0,379;0,313
"branco";0,891;0,891;0,838;0,511
"baixo";0,082;0,946;0,413;0
"alemanha";0,258;0,16;0,277;0,273
"época";0,891;0,258;0,135;0,511
"vender";0,48;0,273;0,772;0,35
"vacinação";0,007;0,258;0,277;0,511
"universidade";0,191;0,002;0,209;0,447
"turno";0;0,108;0,123;0,35
"tratar";0,108;0,108;0;0,35
"sucesso";0,191;0,372;0,891;0,447
"sentido";0,108;0,845;0,034;0,35
"resultado";0,372;0,835;0,891;0,447
"resistência";0,613;0,143;0,686;0,061
"produzir";0,258;0,16;0,838;0,511
"produto";0,372;0,191;0,891;0,447
"presidência";0,007;0,258;0,277;0,511
"petróleo";0,004;0,108;0,123;0,756
"pesquisa";0,16;0,258;0,838;0,511
"necessidade";0,835;0,372;0,891;0,447
"manter";0,613;0,613;0,686;0,395
"lugar";0,48;0,273;0,772;0,35
"livre";0,108;0,845;0,531;0,005
"liderar";0,613;0,613;0,16;0,61
"liberalismo";0,48;0,108;0,034;0,756
"investidor";0;0,108;0,123;0,35
"inimigo";0,48;0,108;0,123;0
"imposto";0,007;0,258;0,277;0,511
"impedir";0,108;0,48;0,034;0,756
"governador";0,372;0,191;0,326;0,447
"gestão";0,372;0,835;0,891;0,447
"gerar";0,136;0,632;0,16;0,61
"frança";0,108;0,004;0,123;0,756
"forte";0,108;0,273;0,772;0,756
"fortalecer";0,191;0,835;0,036;0,447
"financeiro";0,002;0,191;0,209;0,447
"ex_presidente";0,136;0,143;0,549;0,395
"evento";0,48;0,48;0,123;0
"estatal";0;0,108;0,123;0,35
"establishment";0,48;0,108;0,002;0,35
"especialista";0,143;0,613;0,109;0,395
"erro";0,013;0,632;0,16;0,395
"economista";0;0,108;0,123;0,35
"direção";0,372;0,835;0,891;0,447
"deputado";0,372;0,835;0,209;0,447
"declínio";0,108;0,108;0,123;0
"debate";0,143;0,136;0,549;0,395
"crescimento";0,046;0,48;0,531;0,35
"continuar";0,108;0,273;0,228;0,35
"contar";0,613;0,632;0,549;0,395
"confiança";0,845;0,108;0,123;0
"começar";0,613;0,143;0,109;0,395
"clássico";0,48;0,004;0,123;0,35
"cidadão";0,835;0,835;0,326;0,447
"chance";0,48;0,004;0,123;0,35
"centrão";0,002;0,191;0,209;0,447
"busca";0,004;0,48;0,123;0,35
"aumento";0,632;0,143;0,686;0,001
"ataque";0,143;0,001;0,16;0,395
"argumento";0,48;0,845;0,531;0,12
"apoiar";0,632;0,143;0,16;0
"apoiador";0,108;0,845;0,531;0,005
"alinhar";0,258;0,891;0,838;0,273
"agenda";0,001;0,143;0,16;0,395
"acontecer";0,143;0,613;0,686;0,061
"achar";0,191;0,372;0,891;0,447
"áfrica";0,258;0,891;0,838;0,273
"washington";0,143;0,001;0,16;0,395
"visão";0,835;0,372;0,209;0,447
"vida";0,143;0,143;0,549;0,001
"trazer";0,013;0,143;0,686;0,395
"tornar";0,835;0,835;0,891;0,447
"tentativa";0,191;0,372;0,891;0,447
"surto";0,007;0,258;0,277;0,511
"situação";0,835;0,835;0,326;0,447
"senador";0,632;0,143;0,109;0,61
"retorno";0,16;0,891;0,277;0,511
"representação";0,191;0,002;0,209;0,447
"regra";0,191;0,191;0,036;0,447
"regime";0,632;0,013;0,16;0,395
"proteger";0,002;0,191;0,209;0,447
"prometer";0,258;0,007;0,277;0,511
"programa";0,007;0,258;0,277;0,511
"pretender";0,258;0,891;0,838;0,273
"posição";0,613;0,632;0,549;0,395
"popularidade";0,372;0,835;0,209;0,447
"polônia";0,143;0,001;0,16;0,395
"personalista";0,143;0,613;0,109;0,395
"papel";0,632;0,632;0,109;0,395
"onda";0,143;0,632;0,109;0,61
"nível";0,632;0,143;0,009;0,395
"negativo";0,136;0,632;0,686;0,395
"modo";0,136;0,632;0,686;0,395
"mobius";0,007;0,258;0,277;0,511
"mentira";0,835;0,835;0,326;0,447
"koch";0,191;0,372;0,326;0,447
"inflação";0,372;0,372;0,209;0,447
"independente";0,143;0,632;0,686;0,001
"imaginar";0,372;0,191;0,326;0,447
"imagem";0,143;0,013;0,686;0,395
"gostar";0,632;0,136;0,686;0,395
"gente";0,891;0,258;0,135;0,511
"frente";0,613;0,136;0,16;0,395
"fascismo";0,191;0,372;0,326;0,447
"expressão";0,143;0,143;0,16;0
"explicar";0,16;0,891;0,277;0,511
"exemplo";0,372;0,191;0,326;0,447
"executivo";0,891;0,891;0,838;0,511
"evitar";0,835;0,372;0,891;0,447
"entrevista";0,16;0,258;0,838;0,511
"enfrentar";0,046;0,191;0,209;0,447
"dólar";0,046;0,191;0,891;0,447
"desigualdade";0,835;0,191;0,891;0,023
"desenvolvimento";0,632;0,613;0,16;0,061
"crescente";0,891;0,258;0,838;0,273
"constituição";0,632;0,632;0,549;0,61
"claro";0,191;0,002;0,209;0,447
"civil";0,143;0,613;0,16;0,001
"ciclo";0,191;0,191;0,001;0,447
"chinês";0,258;0,16;0,277;0,273
"cenário";0,046;0,835;0,209;0,447
"capitólio";0,143;0,001;0,16;0,395
"campanha";0,372;0,191;0,326;0,447
"beneficiar";0,16;0,891;0,277;0,511
"ação";0,143;0,001;0,16;0,395
"arma";0,143;0,136;0,549;0,395
"ameaçar";0,001;0,143;0,16;0,395
"acabar";0,891;0,258;0,838;0,273
"único";0,258;0,16;0,838;0,511
"óleo";0,002;0,191;0,209;0,447
"vista";0,891;0,891;0,838;0,511
"torno";0,891;0,891;0,277;0,273
"tirar";0,258;0,891;0,135;0,511
"tesouro";0,046;0,835;0,209;0,447
"teoria";0,191;0,002;0,209;0,447
"tendência";0,191;0,835;0,326;0,447
"tender";0,258;0,258;0,135;0,273
"temor";0,002;0,191;0,209;0,447
"temer";0,046;0,835;0,209;0,447
"socialista";0,191;0,372;0,891;0,447
"semelhante";0,258;0,16;0,277;0,273
"salvini";0,191;0,372;0,326;0,447
"rosanvallon";0,191;0,191;0,001;0,447
"rico";0,191;0,835;0,209;0
"resposta";0,191;0,191;0,326;0,023
"república";0,372;0,372;0,209;0,447
"rejeitar";0,372;0,191;0,891;0,447
"recuperar";0,835;0,191;0,326;0,447
"reconhecer";0,835;0,835;0,326;0,447
"recessão";0,258;0,891;0,838;0,273
"receber";0,191;0,372;0,326;0,447
"reação";0,046;0,191;0,209;0,447
"realidade";0,191;0,191;0,001;0,447
"qualidade";0,191;0,191;0,891;0
"prático";0,002;0,191;0,209;0,447
"provocar";0,835;0,835;0,326;0,447
"proteção";0,046;0,191;0,209;0,447
"possibilidade";0,835;0,046;0,209;0,447
"ponto";0,891;0,16;0,277;0,511
"permitir";0,835;0,191;0,891;0,023
"perdido";0,16;0,258;0,838;0,511
"perda";0,002;0,191;0,209;0,447
"particular";0,891;0,258;0,135;0,511
"organização";0,191;0,372;0,326;0,447
"oposição";0,372;0,372;0,209;0,447
"noção";0,191;0,191;0,209;0
"norma";0,258;0,891;0,135;0,511
"maneira";0,191;0,191;0,001;0,447
"limitar";0,191;0,835;0,326;0,447
"ligar";0,191;0,002;0,209;0,447
"liderança";0,191;0,191;0,891;0
"lembrar";0,191;0,835;0,036;0,447
"judicial";0,258;0,258;0,838;0,004
"irmão";0,191;0,372;0,326;0,447
"investimento";0,007;0,258;0,277;0,511
"intervencionismo";0,007;0,258;0,277;0,511
"indicar";0,891;0,891;0,838;0,511
"incluir";0,191;0,046;0,891;0,447
"ideologia";0,191;0,191;0,326;0,023
"hungria";0,191;0,002;0,209;0,447
"guinar";0,002;0,191;0,209;0,447
"grave";0,891;0,258;0,277;0,004
"governar";0,002;0,191;0,209;0,447
"geral";0,258;0,891;0,135;0,511
"gasto";0,007;0,258;0,277;0,511
"futuro";0,372;0,835;0,209;0,447
"fundamental";0,258;0,258;0,135;0,273
"fronteira";0,191;0,002;0,209;0,447
"figura";0,835;0,835;0,326;0,447
"fenômeno";0,191;0,835;0,036;0,447
"falso";0,191;0,372;0,326;0,447
"exigir";0,191;0,002;0,209;0,447
"estimular";0,258;0,16;0,277;0,273
"estilo";0,258;0,891;0,135;0,511
"espécie";0,891;0,258;0,135;0,511
"escritor";0,191;0,002;0,209;0,447
"escola";0,835;0,372;0,891;0,447
"escalada";0,007;0,258;0,277;0,511
"eleger";0,258;0,007;0,277;0,511
"diretor";0,191;0,191;0,209;0
"dilma";0,046;0,191;0,209;0,447
"diesel";0,002;0,191;0,209;0,447
"destruição";0,191;0,191;0,001;0,447
"destacar";0,891;0,891;0,838;0,511
"definir";0,835;0,191;0,891;0,023
"cultural";0,258;0,258;0,005;0,511
"criticar";0,372;0,835;0,209;0,447
"correr";0,258;0,891;0,135;0,511
"concepção";0,191;0,002;0,209;0,447
"compromisso";0,007;0,258;0,277;0,511
"combustível";0,002;0,191;0,209;0,447
"coletivo";0,191;0,191;0,209;0
"central";0,891;0,16;0,277;0,511
"casa";0,258;0,891;0,135;0,511
"caminhoneiro";0,002;0,191;0,209;0,447
"bolsa";0,002;0,191;0,209;0,447
"base";0,002;0,191;0,209;0,447
"atenção";0,891;0,891;0,838;0,511
"associar";0,191;0,046;0,209;0,447
"apontar";0,191;0,002;0,209;0,447
"apelo";0,191;0,835;0,891;0,023
"amazônia";0,372;0,835;0,891;0,447
"alto";0,372;0,191;0,326;0,447
"alternativo";0,191;0,372;0,891;0,447
"alcançar";0,258;0,16;0,277;0,273
"ala";0,372;0,372;0,209;0,447
"ajuda";0,16;0,258;0,838;0,511
"agravar";0,835;0,046;0,209;0,447
"afastar";0,191;0,191;0,001;0,447
"adversário";0,835;0,191;0,891;0,023
"ódio";0,258;0,891;0,135;0,511
"ásia";0,258;0,891;0,838;0,273
"versão";0,258;0,891;0,135;0,511
"união";0,891;0,16;0,277;0,511
"universo";0,258;0,16;0,277;0,273
"trumpismo";0,258;0,007;0,277;0,511
"tensão";0,891;0,891;0,838;0,511
"tecnocrata";0,258;0,007;0,277;0,511
"série";0,258;0,16;0,838;0,511
"surpreender";0,258;0,258;0,005;0,511
"subir";0,007;0,258;0,277;0,511
"solução";0,258;0,16;0,838;0,511
"sobreviver";0,258;0,16;0,277;0,273
"senado";0,258;0,16;0,838;0,511
"ruim";0,16;0,891;0,277;0,511
"rua";0,891;0,16;0,277;0,511
"retomada";0,16;0,891;0,277;0,511
"resultar";0,16;0,258;0,838;0,511
"relacionar";0,258;0,16;0,838;0,511
"redução";0,891;0,16;0,277;0,511
"razão";0,16;0,258;0,277;0,273
"queda";0,891;0,891;0,838;0,511
"pressão";0,891;0,258;0,277;0,004
"preciso";0,891;0,16;0,277;0,511
"população";0,891;0,258;0,838;0,273
"poderoso";0,258;0,258;0,277;0
"pleito";0,891;0,891;0,277;0,273
"plano";0,16;0,258;0,838;0,511
"pierre";0,258;0,258;0,005;0,511
"pessoal";0,258;0,007;0,277;0,511
"perigoso";0,258;0,891;0,135;0,511
"pequeno";0,258;0,258;0,838;0,004
"pedir";0,258;0,891;0,277;0,004
"partir";0,16;0,258;0,838;0,511
"paris";0,258;0,007;0,277;0,511
"parceria";0,258;0,16;0,838;0,511
"orçamentário";0,16;0,258;0,838;0,511
"ocorrer";0,258;0,258;0,838;0,004
"notícia";0,891;0,258;0,135;0,511
"nação";0,258;0,891;0,277;0,004
"mídia";0,891;0,891;0,838;0,511
"médico";0,891;0,16;0,277;0,511
"máximo";0,258;0,007;0,277;0,511
"mundial";0,16;0,891;0,277;0,511
"menor";0,007;0,258;0,277;0,511
"mau";0,891;0,891;0,838;0,511
"marcar";0,258;0,258;0,005;0,511
"manipular";0,891;0,891;0,277;0,273
"manifestação";0,891;0,891;0,838;0,511
"largo";0,258;0,16;0,277;0,273
"judiciário";0,258;0,16;0,277;0,273
"josé";0,16;0,891;0,277;0,511
"jornalismo";0,258;0,891;0,135;0,511
"joe";0,258;0,16;0,838;0,511
"invasão";0,258;0,891;0,838;0,273
"intervenção";0,16;0,891;0,277;0,511
"interromper";0,258;0,007;0,277;0,511
"indiano";0,258;0,007;0,277;0,511
"impor";0,16;0,891;0,277;0,511
"ilusão";0,891;0,16;0,277;0,511
"ignorância";0,891;0,891;0,838;0,511
"hora";0,16;0,891;0,277;0,511
"histórico";0,258;0,891;0,135;0,511
"general";0,16;0,258;0,838;0,511
"fóssil";0,007;0,258;0,277;0,511
"formar";0,891;0,891;0,838;0,511
"fogo";0,258;0,891;0,277;0,004
"fator";0,891;0,258;0,277;0,004
"fascista";0,258;0,258;0,005;0,511
"fantasia";0,891;0,891;0,277;0,273
"extremismo";0,891;0,258;0,838;0,273
"explorar";0,891;0,258;0,135;0,511
"explicação";0,258;0,891;0,135;0,511
"expansão";0,258;0,891;0,838;0,273
"erosão";0,258;0,007;0,277;0,511
"energia";0,891;0,258;0,277;0,004
"emocional";0,258;0,258;0,135;0,273
"dúvida";0,258;0,258;0,838;0,004
"domínio";0,258;0,16;0,277;0,273
"distinguir";0,258;0,258;0,135;0,273
"dificuldade";0,891;0,16;0,277;0,511
"desinformação";0,258;0,258;0,277;0
"desconfiança";0,891;0,258;0,135;0,511
"descer";0,891;0,891;0,277;0,273
"demagogo";0,258;0,16;0,838;0,511
"cruz";0,891;0,258;0,135;0,511
"criar";0,258;0,16;0,838;0,511
"crer";0,891;0,258;0,135;0,511
"convencer";0,258;0,891;0,135;0,511
"contexto";0,258;0,891;0,838;0,273
"constante";0,258;0,258;0,005;0,511
"conspiração";0,258;0,16;0,838;0,511
"conspiratório";0,258;0,891;0,838;0,273
"congressista";0,891;0,16;0,277;0,511
"conflito";0,258;0,258;0,005;0,511
"conduzir";0,258;0,258;0,005;0,511
"condenar";0,258;0,891;0,838;0,273
"comportamento";0,258;0,891;0,135;0,511
"completo";0,258;0,16;0,838;0,511
"combate";0,891;0,891;0,277;0,273
"clima";0,16;0,258;0,838;0,511
"científico";0,258;0,007;0,277;0,511
"chamado";0,258;0,007;0,277;0,511
"centro";0,258;0,258;0,135;0,273
"ceder";0,258;0,16;0,277;0,273
"bruxelas";0,258;0,258;0,277;0
"brexit";0,258;0,891;0,838;0,273
"baseado";0,258;0,258;0,838;0,004
"assustar";0,007;0,258;0,277;0,511
"assunto";0,258;0,16;0,838;0,511
"araújo";0,258;0,16;0,838;0,511
"aproveitar";0,258;0,16;0,838;0,511
"apresentar";0,258;0,891;0,135;0,511
"anterior";0,891;0,258;0,838;0,273
"américa";0,258;0,891;0,135;0,511
"amigo";0,891;0,16;0,277;0,511
"ameaça";0,007;0,258;0,277;0,511
"amazona";0,258;0,891;0,135;0,511
"alvo";0,891;0,16;0,277;0,511
"albertazzi";0,258;0,891;0,135;0,511
"acrescentar";0,258;0,258;0,277;0
"acordo";0,891;0,891;0,277;0,273
"aberto";0,891;0,258;0,135;0,511
"*aut_52";0,845;0,046;0,123;0,35
"*tit_32";0,529;0,356;0,489;0,592
"*tit_33";1;1;1;1
"*tit_30";0,529;0,529;0,376;0,592
"*tit_36";0,002;0,191;0,209;0,447
"*tit_37";0,529;0,529;0,376;0,592
"*tit_34";0,356;0,356;0,489;0,108
"*tit_35";0,356;0,356;0,023;0,592
"*tit_38";0,007;0,258;0,277;0,511
"*tit_39";0,16;0,258;0,838;0,511
"*dia_15_03";0,136;0,632;0,686;0,395
"*dia_15_01";0,006;0,001;0,033;0,037
"*aut_54";0,356;0,529;0,489;0,592
"*aut_48";0,515;0,515;0,109;0,705
"*aut_49";0,108;0,845;0,228;0,756
"*tit_138";0,356;0,356;0,489;0,108
"*tit_139";0,356;0,029;0,376;0,592
"*tit_134";0,835;0,835;0,326;0,447
"*aut_41";0,007;0,258;0,277;0,511
"*aut_42";0,356;0,529;0,489;0,592
"*aut_43";0,013;0,022;0,965;0,837
"*aut_44";0,356;0,356;0,489;0,108
"*aut_45";0,108;0,48;0,034;0,756
"*aut_46";0,529;0,529;0,376;0,592
"*aut_47";0,108;0,273;0,772;0,756
"*tit_47";0,082;0,015;0,976;0,313
"*dia_19_02";0,007;0,258;0,277;0,511
"*dia_19_03";0,529;0,356;0,489;0,592
"*dia_06_03";0,372;0,835;0,891;0,447
"*aut_51";0,356;0,356;0,023;0,592
"*tit_08";0,191;0,191;0,001;0,447
"*tit_131";0,356;0,356;0,376;0
"*dia_08_02";0,529;0,529;0,376;0,592
"*dia_08_03";0;0,046;0,06;0,135
"*dia_06_02";0,515;0,515;0,109;0,705
"*tit_46";0,515;0,515;0,109;0,705
"*tit_45";0,007;0,258;0,277;0,511
"*dia_06_01";0,632;0,613;0,549;0,395
"*tit_43";0,124;0,515;0,532;0,705
"*tit_42";0,124;0,515;0,532;0,705
"*tit_41";0,891;0,891;0,277;0,273
"*tit_40";0,204;0,626;0,322;0,28
"*jor_01";0,07;0,705;0,019;0,223
"*jor_02";0,07;0,705;0,019;0,223
"*dia_18_01";0,082;0,443;0,976;0,194
"*tit_49";0,108;0,48;0,034;0,756
"*tit_48";0,356;0,356;0,489;0,108
"*dia_07_01";0,063;0,204;0,548;1
"*tit_129";0,029;0,356;0,376;0,592
"*tit_128";0,356;0,529;0,489;0,592
"*tit_127";0,258;0,16;0,838;0,511
"*tit_126";0,356;0,356;0,023;0,592
"*tit_125";0,515;0,124;0,532;0,705
"*tit_132";0,529;0,356;0,489;0,592
"*tit_123";0,124;0,515;0,532;0,705
"*dia_11_03";0;0,037;0,197;0,225
"*tit_121";0,029;0,356;0,376;0,592
"*tit_120";0,124;0,515;0,532;0,705
"*dia_07_02";0,143;0,136;0,686;0,61
"*tit_07";0,108;0,48;0,034;0,756
"*dia_23_03";0,515;0,515;0,109;0,705
"*tit_06";0,515;0,515;0,109;0,705
"*dia_01_03";0,356;0,029;0,376;0,592
"*dia_01_02";0,356;0,029;0,376;0,592
"*dia_01_01";0,017;0,053;0,3;0,042
"*tit_05";0,029;0,356;0,376;0,592
"*tit_133";0,356;0,029;0,376;0,592
"*aut_121";0,356;0,356;0,489;0,108
"*dia_27_03";0,529;0,529;0,376;0,592
"*dia_27_02";0,372;0,191;0,891;0,447
"*tit_02";0,515;0,515;0,109;0,705
"*tit_54";0,046;0,4;0,005;0,921
"*tit_55";0,063;0,204;0,322;0,031
"*tit_57";0,356;0,356;0,023;0,592
"*tit_50";0,529;0,529;0,376;0,592
"*tit_51";0,356;0,529;0,376;0,108
"*tit_52";0,515;0,515;0,109;0,705
"*tit_53";0,356;0,356;0,489;0,108
"*tit_58";0,845;0,046;0,123;0,35
"*tit_59";0,356;0,529;0,489;0,592
"*tit_113";0,007;0,258;0,277;0,511
"*tit_110";0,529;0,529;0,376;0,592
"*tit_111";0,002;0,191;0,209;0,447
"*tit_116";0,356;0,029;0,376;0,592
"*tit_117";0,529;0,356;0,376;0,108
"*tit_114";0,029;0,356;0,376;0,592
"*tit_115";0,529;0,356;0,376;0,108
"*tit_118";0,891;0,258;0,135;0,511
"*dia_02_02";0,191;0,835;0,326;0,447
"*tit_01";0,367;0,946;0,084;0,313
"*dia_25_01";0,356;0,356;0,023;0,592
"*dia_25_02";0,007;0,258;0,277;0,511
"*dia_03_01";0,356;0,029;0,376;0,592
"*dia_03_03";0,891;0,16;0,277;0,511
"*dia_09_03";0,005;0,281;0,322;0,28
"*aut_38";0,124;0,515;0,532;0,705
"*tit_130";0,529;0,529;0,376;0,592
"*aut_108";0,109;0,367;0,976;0,313
"*aut_109";0,002;0,191;0,209;0,447
"*tit_63";0,356;0,529;0,489;0,592
"*tit_65";0,124;0,515;0,532;0,705
"*tit_64";0,258;0,16;0,838;0,511
"*tit_67";0,063;0,204;0,548;1
"*tit_66";0,367;0,443;0,413;0,194
"*tit_69";0,356;0,356;0,023;0,592
"*aut_101";0,108;0,108;0,002;0,756
"*aut_102";0,029;0,356;0,376;0,592
"*aut_103";0;0,047;0,018;0,082
"*aut_104";0,48;0,845;0,772;0,756
"*aut_105";0,613;0,143;0,686;0,061
"*aut_106";0,835;0,372;0,891;0,447
"*aut_107";0,529;0,529;0,376;0,592
"*aut_17";0,046;0,191;0,891;0,447
"*aut_16";0,002;0,191;0,209;0,447
"*aut_15";0,191;0,191;0,001;0,447
