"";"X.jor_01";"X.jor_02"
"cujo";0,17;0,42
"aspecto";0,21;0,13
"cuja";0,15;0,13
"folha";0,64;0,17
"definir";0,19;0,25
"hoje";0,76;0,8
"ascensão";0,13;0,46
"aí";0,42;0,63
"diretor";0,19;0,29
"coalizão";0,17;0,38
"neoliberalismo";0,19;0
"rússia";0,08;0,42
"reeleição";0,21;0,17
"mundo";1,82;1,89
"pedir";0,27;0,38
"pesquisa";0,47;0,38
"terra";0,13;0,21
"ferreira";0;0,5
"aplicar";0,11;0,21
"essencial";0,13;0,25
"reconhecer";0,21;0,13
"social";1,78;1,81
"via";0,21;0,17
"três";0,44;0,42
"vir";1,17;0,92
"reunião";0,13;0,13
"corte";0,28;0,21
"silva";0,11;0,42
"obrigar";0,13;0,17
"certamente";0,17;0,04
"diferente";0,81;0,38
"visão";0,49;0,46
"ponto";0,63;0,25
"biden";0,74;1,39
"evento";0,23;0,29
"não";11,07;12,95
"plano";0,28;0,42
"fundamental";0,15;0,46
"centrão";0,13;0,5
"francês";0,15;0,08
"papel";0,55;0,21
"buscar";0,25;0,13
"bilhão";0,47;0,92
"subir";0,34;0,5
"fossar";0,32;0,34
"expansão";0,17;0,04
"carvalho";0,09;0,29
"nossa";0,61;0,29
"nosso";0,74;0,42
"armamento";0,17;0,08
"entender";0,28;0,29
"aprovar";0,44;0,55
"nome";0,42;0,13
"contra";1,93;2,65
"talvez";0,51;0,59
"parlamentar";0,15;0,34
"finalmente";0,13;0,17
"indústria";0,32;0,13
"tentar";0,97;1,18
"sentar";0,13;0,17
"defender";0,93;1,05
"assumir";0,36;0,25
"donald";0,47;0,63
"seu";3,88;3,49
"ser";25,17;29,14
"sem";1,59;2,02
"ninguém";0,25;0,17
"pagar";0,09;0,46
"europa";0,19;0,92
"agente";0,11;0,17
"imaginar";0,25;0,13
"conjunto";0,21;0,08
"judicial";0,19;0,08
"impedir";0,45;0,38
"capitólio";0,23;0,13
"campanha";0,63;0,42
"profundo";0,23;0,13
"próprio";0,85;1,01
"conservador";0,36;0,17
"ajudar";0,4;0,29
"tomar";0,45;0,46
"importante";0,93;0,92
"tragédia";0,08;0,25
"demanda";0,13;0,17
"aquele";0,47;0,76
"aquela";0,3;0,17
"comparar";0,15;0,08
"presidente";3,37;4,12
"ideologia";0,23;0,17
"jornal";0,38;0,13
"anterior";0,32;0,17
"estabelecer";0,3;0,21
"escolher";0,08;0,25
"exercer";0,19;0,17
"votar";0,25;0,21
"região";0,3;0,34
"um";12,15;12,28
"corrupção";0,36;0,17
"indicar";0,19;0,29
"estilo";0,19;0
"diverso";0,27;0,21
"óbvio";0,17;0,17
"imprensa";1,06;0,71
"elemento";0,17;0,13
"ataque";0,49;0,42
"constituição";0,51;0,59
"difícil";0,68;0,63
"fachin";0,19;0,13
"lei";1,02;1,64
"ler";0,23;0,25
"primeiro_ministro";0,08;0,29
"caminhoneiro";0,09;0,42
"agência";0,21;0,25
"causar";0,11;0,29
"período";0,32;0,17
"capacidade";0,36;0,29
"isso";3,15;2,94
"classe";0,17;0,17
"volta";0,47;0,21
"econômico";1,95;1,35
"2019";0,53;0,5
"2018";0,38;0,46
"2014";0,08;0,25
"2017";0,23;0,08
"2016";0,17;0,34
"nada";0,7;0,88
"veículo";0,3;0
"através";0,21;0,13
"pergunta";0,28;0,08
"constitucional";0,42;0,17
"contrário";0,55;0,25
"além";1;1,01
"tempo";1,19;1,39
"potencial";0,11;0,21
"legislativo";0,15;0,17
"haver";3,47;3,7
"elite";0,04;0,34
"criminoso";0,13;0,17
"roberto";0,11;0,17
"associar";0,08;0,29
"milícia";0,34;0,08
"exército";0,23;0,21
"latino";0,21;0,13
"serviço";0,28;0,29
"marcar";0,21;0,17
"principal";0,8;0,71
"terminar";0,21;0,21
"tudo";1,1;0,71
"impeachment";0,17;0,25
"autor";0,42;0,17
"identificar";0,21;0,04
"posse";0,45;0,21
"araújo";0,08;0,71
"ambiental";0,13;0,76
"câmbio";0,19;0,08
"equipa";0,27;0,21
"eduardo";0,11;0,25
"guinar";0,17;0,04
"paulo";0,89;1,09
"amazônia";0,04;0,59
"governar";0,15;0,42
"momento";0,89;0,5
"rcifrão";0,74;0,92
"nacional";1;1,51
"neoliberal";0,38;0
"crise";0,76;0,59
"análise";0,15;0,13
"frança";0,19;0,25
"banco";0,36;0,38
"lidar";0,13;0,21
"decreto";0,36;0,13
"coisa";1;0,42
"representação";0,17;0,08
"chance";0,3;0,21
"quarto";0,17;0,13
"prometer";0,17;0,13
"retirar";0,09;0,29
"afirmar";1,4;0,88
"comunidade";0,19;0
"fogo";0,21;0,04
"hora";0,36;0,38
"3";0,28;0,42
"interno";0,17;0,13
"frase";0,11;0,21
"negativo";0,13;0,34
"continuar";0,81;0,42
"custo";0,36;0,17
"expressar";0,23;0,08
"significar";0,36;0,25
"indivíduo";0,17;0,17
"bolsonaro";3,88;7,11
"atuação";0,19;0,04
"ordem";0,32;0,17
"passado";0,74;1,09
"proteção";0,15;0,42
"ilegal";0,15;0,08
"valor";0,7;0,67
"ameaçar";0,15;0,34
"pobre";0,19;0,21
"promover";0,21;0,17
"pazuello";0,04;0,38
"diesel";0,19;0,29
"forte";0,47;0,21
"idoso";0,27;0
"realizar";0,17;0,13
"produzir";0,45;0,5
"vacina";1,61;1,43
"algum";1,33;0,8
"lula";1,76;0,8
"salvar";0,23;0,04
"combustível";0,42;0,5
"acusar";0,3;0,13
"grave";0,13;0,17
"responder";0,4;0,25
"ativo";0,23;0,29
"de";113,89;113,44
"jovem";0,13;0,17
"olhar";0,28;0,04
"sentido";0,47;0,17
"dividir";0,19;0
"termo";0,38;0,59
"com";11,11;12,32
"candidato";0,8;0,46
"inteligência";0,51;0,08
"demais";0,32;0,25
"saída";0,23;0,21
"olavo";0,15;0,42
"falso";0,19;0,17
"metade";0,11;0,25
"função";0,19;0,08
"anvisa";0,19;0,13
"1";0,42;0,42
"empresário";0,38;0,25
"depois";0,81;1,51
"recurso";0,47;0,38
"campo";0,51;0,29
"agricultor";0,19;0
"the";0,25;0,08
"antes";0,59;0,84
"coronavírus";0,23;0,38
"queda";0,34;0,29
"questão";0,68;0,67
"reforçar";0,25;0,08
"moeda";0,06;0,38
"conversa";0,15;0,29
"artigo";0,32;0,38
"ceder";0,15;0,17
"dívida";0,15;0,21
"ganhar";0,53;0,76
"inclusive";0,25;0,34
"preciso";0,45;0,76
"tese";0,13;0,13
"derrotar";0,17;0,13
"escala";0,09;0,21
"abertura";0,17;0,25
"global";0,66;0,55
"funcionar";0,27;0,17
"espécie";0,21;0,13
"doença";0,13;0,13
"aula";0,06;0,29
"turno";0,44;0,08
"ditadura";0,21;0,38
"interpretar";0,13;0,13
"revista";0,19;0,04
"participar";0,15;0,08
"cargo";0,38;0,59
"mudar";0,53;0,34
"participação";0,19;0,08
"italiano";0,21;0,59
"prova";0,19;0,13
"ministério";0,36;0,42
"instituição";0,89;0,76
"pequeno";0,45;0,21
"você";0,78;0,92
"perder";0,68;0,63
"recente";0,42;0,38
"ligar";0,11;0,21
"transição";0,17;0,04
"forma";1,19;0,8
"concessão";0,11;0,21
"desde";1,1;1,14
"citar";0,21;0,21
"mulher";0,32;0
"eu";0,81;0,25
"precisar";0,93;1,39
"munição";0,25;0
"coletivo";0,21;0,08
"investimento";0,66;0,42
"objectivo";0,15;0,42
"recentemente";0,19;0,17
"internacional";0,53;0,63
"ressaltar";0,09;0,21
"contar";0,68;1,09
"estar";5,72;4,88
"cumprir";0,11;0,29
"ambiente";0,4;0,59
"episódio";0,13;0,17
"conseguir";0,78;0,59
"incerteza";0,25;0,21
"consequência";0,23;0,29
"vista";0,4;0,21
"taxa";0,42;0,08
"real";0,28;0,59
"lado";0,53;0,63
"virar";0,15;0,08
"chefe";0,19;0,25
"central";0,4;0,25
"ocupar";0,13;0,21
"guedes";0,42;0,71
"protesto";0,47;0,17
"transformar";0,28;0,34
"autoritário";0,74;0,59
"reagir";0,09;0,25
"navalni";0,28;0
"relevante";0,17;0,25
"juiz";0,3;0,25
"sobretudo";0,15;0,17
"sucesso";0,09;0,29
"cidadão";0,44;0,08
"fiscal";0,91;1,3
"entanto";0,38;0,21
"inquérito";0,13;0,46
"desigualdade";0,32;0,34
"cientista";0,36;0,17
"comercial";0,13;0,63
"mundial";0,27;0,21
"independência";0,09;0,34
"tradicional";0,17;0,38
"governador";0,25;0,34
"argumentar";0,15;0,13
"emergencial";0,57;0,67
"retorno";0,3;0,17
"a";61,48;60,54
"convencer";0,11;0,17
"romance";0,55;0
"demorar";0,19;0,17
"lira";0,23;0,8
"polícia";0,59;0,25
"admitir";0,13;0,21
"todo";2,35;2,77
"somente";0,17;0,13
"7";0,21;0,04
"base";0,3;0,38
"novamente";0,21;0,13
"suficiente";0,13;0,25
"brasília";0,13;0,13
"norma";0,15;0,29
"país";3,85;3,07
"stf";0,3;0,42
"natureza";0,09;0,21
"qualidade";0,25;0,17
"fraude";0,19;0,04
"desafio";0,32;0,17
"minha";0,49;0,13
"setor";0,57;0,42
"certo";0,53;0,5
"quem";0,95;1,05
"sobreviver";0,13;0,13
"tradicionalista";0,02;0,46
"provavelmente";0,15;0,25
"religioso";0,17;0,17
"cultura";0,23;0,17
"elétrico";0,06;0,42
"relatório";0,15;0,08
"piso";0,27;0
"eleitoral";0,7;0,8
"parecer";1,31;0,92
"senador";0,19;0,38
"pessoal";0,28;0,08
"militar";0,63;0,76
"regra";0,44;0,21
"reduzir";0,45;0,38
"inflação";0,51;0,34
"saúde";1,14;1,22
"conter";0,17;0,08
"escolha";0,21;0,25
"apresentar";0,49;0,29
"ocorrer";0,51;0,08
"marco";0,13;0,17
"bolsa";0,25;0,13
"américa";0,36;0,17
"popular";0,19;0,38
"trabalho";0,44;0,34
"economia";1,42;2,1
"permitir";0,44;0,5
"autoridade";0,28;0,13
"rua";0,15;0,13
"ativista";0,17;0,04
"sinal";0,3;0,55
"preocupação";0,34;0,29
"governo";4,19;6,22
"implementar";0,21;0,13
"lembrar";0,32;0,46
"conservadorismo";0,13;0,13
"pretender";0,11;0,21
"governante";0,11;0,34
"mentira";0,34;0,25
"valer";0,27;0,46
"claro";0,45;0,84
"trocar";0,11;0,17
"resistência";0,17;0,17
"intervir";0,08;0,25
"agenda";0,68;0,5
"alguém";0,28;0,34
"senhor";0,11;0,17
"modo";0,42;0,42
"globo";0,08;0,25
"democracia";1,78;1,22
"manaus";0,15;0,5
"causa";0,3;0,25
"jogar";0,17;0,38
"único";0,47;0,13
"acima";0,23;0,04
"final";0,36;0,38
"quando";1,91;1,85
"bem";0,64;0,63
"pressão";0,34;0,17
"mobius";0,21;0
"mês";0,55;0,71
"crescente";0,09;0,25
"diplomacia";0,02;0,5
"explicar";0,3;0,55
"cima";0,17;0,17
"tornar";0,93;0,67
"passo";0,15;0,08
"atuar";0,19;0,17
"lsn";0;0,55
"atual";0,95;0,5
"médio";0,34;0,29
"escrever";0,45;0,29
"humano";0,76;0,29
"frente";0,63;0,5
"aqui";0,51;0,42
"limite";0,32;0,46
"emoção";0,19;0,08
"cena";0,25;0,08
"pib";0,17;0,17
"imunizantes";0,13;0,13
"tão";0,63;0,63
"chamar";0,42;0,63
"possibilidade";0,32;0,42
"mesmo";1,95;2,4
"possível";0,68;0,38
"parte";1,46;0,67
"presidência";0,51;0,55
"representante";0,19;0,08
"estado";2,18;2,31
"44";0,17;0,08
"onda";0,19;0,17
"dose";0,13;0,34
"vida";0,68;0,71
"fechar";0,08;0,25
"fortalecer";0,15;0,29
"fato";0,74;1,05
"integrante";0,13;0,13
"twitter";0,15;0,08
"congresso";0,76;0,88
"morrer";0,21;0,29
"motivo";0,11;0,17
"importação";0,17;0,13
"usar";0,42;0,8
"ação";0,55;0,71
"washington";0,32;0,25
"chegar";1,06;0,88
"questionar";0,17;0,13
"época";0,13;0,29
"começo";0,27;0,04
"sempre";1,02;0,92
"apesar";0,64;0,42
"índio";0,23;0,25
"parecido";0,08;0,25
"derrota";0,25;0,34
"presente";0,21;0,08
"exigir";0,19;0,29
"segurança";0,57;0,84
"prioridade";0,09;0,29
"tipo";0,34;0,25
"sobre";2,52;2,02
"meu";0,34;0,17
"100";0,27;0,04
"acesso";0,32;0,25
"cidade";0,3;0,17
"resto";0,13;0,13
"morar";0,15;0,13
"arma";1,17;0,29
"fenômeno";0,17;0,17
"candidatura";0,28;0,13
"nós";0,53;0,59
"liberdade";0,97;0,71
"gente";0,8;0,46
"corporação";0,11;0,21
"ernesto";0,04;0,5
"mensagem";0,15;0,13
"mianmar";0,02;0,38
"entrar";0,45;0,42
"construção";0,09;0,21
"economista";0,23;0,46
"formação";0,04;0,34
"gerar";0,57;0,29
"segundo";1,74;1,01
"abrir";0,32;0,25
"geral";0,36;0,25
"perspectiva";0,19;0,25
"máquina";0,21;0,17
"liberalismo";0,53;0,29
"trabalhador";0,19;0,04
"simplesmente";0,15;0,17
"leitura";0,15;0,21
"anunciar";0,17;0,25
"principalmente";0,34;0,08
"14";0,08;0,29
"artificial";0,53;0
"sair";0,44;0,76
"pesquisador";0,32;0,13
"butantan";0,23;0,17
"futuro";0,57;0,17
"mínimo";0,19;0,13
"falar";0,76;1,05
"pôr";0,13;0,25
"durante";0,51;0,46
"judiciário";0,19;0,17
"usado";0,19;0,55
"funcionário";0,25;0,17
"destruição";0,15;0,21
"encontrar";0,3;0,38
"ir";8,7;7,44
"alimentar";0,17;0,25
"livre";0,3;0,29
"livro";0,66;0,46
"aparecer";0,15;0,17
"programa";0,53;0,17
"personagem";0,23;0,04
"conflito";0,23;0,13
"declaração";0,11;0,17
"assim";1,19;0,92
"negar";0,21;0,08
"teto";0,17;0,25
"rejeitar";0,09;0,21
"apontar";0,4;0,04
"carta";0,21;0,34
"aumento";0,74;0,5
"tecnologia";0,28;0,04
"erro";0,21;0,17
"armado";0,21;0,25
"rodada";0,23;0,08
"baixo";0,53;0,34
"avançar";0,19;0,21
"condição";0,21;0,42
"atividade";0,15;0,13
"jamais";0,13;0,29
"produto";0,64;0,25
"digital";0,15;0,13
"alerta";0,17;0,08
"publicar";0,45;0,21
"poderoso";0,17;0,17
"russo";0,23;0,25
"chinês";0;0,67
"menor";0,27;0,17
"menos";0,68;1,05
"pobreza";0,17;0,17
"torno";0,25;0,08
"dia";0,97;1,35
"lógica";0,21;0,17
"alto";0,53;0,84
"instituto";0,36;0,5
"organização";0,36;0,21
"bom";0,66;0,59
"condenação";0,21;0,04
"enorme";0,25;0,13
"idade";0,21;0,13
"institucional";0,28;0,13
"mau";0,15;0,08
"mal";0,15;0,17
"sofrer";0,34;0,13
"jair";0,64;0,88
"velocidade";0,15;0,13
"provável";0,15;0,17
"mais";7,22;7,99
"estrutura";0,25;0,17
"maia";0,15;0,34
"jornalista";0,72;0,17
"janeiro";0,3;0,25
"agir";0,25;0,13
"definição";0,17;0,13
"fazer";4,06;4,62
"sugerir";0,27;0,25
"fábrica";0,21;0,04
"ministro";0,81;1,72
"registrar";0,19;0,04
"americano";1,27;0,76
"tradição";0,19;0,17
"11";0,19;0,17
"10";0,28;0,29
"12";0,23;0,25
"15";0,11;0,46
"número";0,59;0,42
"princípio";0,13;0,13
"aumentar";0,53;0,84
"logístico";0,06;0,29
"científico";0,28;0,25
"realmente";0,19;0,13
"planalto";0,15;0,21
"já";2,43;2,27
"razão";0,34;0,17
"alemanha";0,04;0,42
"proposta";0,4;0,46
"achar";0,97;0,25
"quadro";0,11;0,25
"refletir";0,15;0,25
"democrático";1,04;1,01
"crescimento";0,49;0,13
"família";0,38;0,17
"acionista";0,09;0,29
"quatro";0,72;0,17
"proteger";0,21;0,29
"preocupar";0,21;0,04
"argumento";0,25;0,17
"lava";0,17;0,04
"concepção";0,11;0,17
"então";0,61;0,59
"necessariamente";0,15;0,08
"4";0,25;0,13
"desinformação";0,17;0,21
"viver";0,51;0,29
"estimular";0,32;0,08
"gestor";0,17;0,08
"imagem";0,3;0,08
"fabricar";0,15;0,13
"criticar";0,21;0,42
"empresa";0,89;1,64
"polarização";0,45;0,34
"ultrapassar";0,15;0,08
"posição";0,36;0,21
"responsabilidade";0,4;0,5
"agora";1,1;1,35
"advogado";0,15;0,08
"interesse";0,32;0,42
"general";0,15;1,05
"lhes";0,19;0,5
"universidade";0,27;0,13
"nível";0,44;0,13
"partido";1,78;1,35
"claramente";0,15;0,13
"dilma";0,17;0,46
"clássico";0,23;0,08
"decisão";0,61;0,59
"19";0,19;0,17
"conta";0,3;0,21
"ampliar";0,23;0,08
"dificuldade";0,17;0,21
"prever";0,3;0,29
"incluir";0,42;0,42
"morto";0,15;0,08
"morte";0,47;0,42
"sistema";0,53;0,76
"discussão";0,15;0,17
"25";0,25;0,17
"20";0,38;0,25
"21";0,25;0,04
"afastar";0,13;0,13
"trajetória";0,19;0,17
"respeito";0,19;0,04
"verdade";0,4;0,55
"comando";0,25;0,34
"cada";1,14;0,63
"jogo";0,21;0,21
"dono";0,13;0,17
"completamente";0,13;0,17
"importância";0,17;0,25
"para";14,69;14,76
"atacar";0,21;0,13
"2020";0,64;0,38
"2021";0,3;0,13
"2022";0,59;0,42
"essa";1,74;1,81
"esse";2,1;1,64
"permanecer";0,15;0,21
"orçamento";0,13;0,34
"gabinete";0,15;0,17
"ruim";0,27;0,08
"depender";0,3;0,42
"8";0,17;0,04
"meio";1;1,26
"capital";0,09;0,21
"tender";0,28;0,25
"eleição";1,72;1,22
"filho";0,36;0,13
"repetir";0,19;0,34
"inimigo";0,28;0,29
"busca";0,25;0,21
"koch";0,38;0
"entre";2,2;2,4
"alternativo";0,21;0,17
"administrativo";0,19;0,17
"comportamento";0,13;0,13
"líder";1,19;1,22
"vincular";0,15;0,13
"financiamento";0,17;0,04
"servir";0,19;0,08
"mostrar";0,81;0,76
"apoio";0,68;0,46
"energia";0,27;0,84
"suposto";0,21;0,25
"ajuste";0,17;0,08
"pec";0,17;0,42
"impor";0,21;0,5
"acompanhar";0,19;0,21
"financeiro";0,78;0,21
"poder";5,7;5
"dinheiro";0,23;0,34
"significativo";0,17;0,08
"vário";0,36;0,42
"representar";0,38;0,42
"relação";1,25;1,3
"básico";0,19;0,21
"mecanismo";0,17;0,04
"geração";0,4;0,17
"palácio";0,15;0,13
"votação";0,15;0,17
"ciclo";0,28;0,17
"escola";0,28;0,21
"presidencial";0,44;0,21
"década";0,51;0,42
"extremo";0,32;0,29
"30";0,17;0,34
"clima";0,19;0,38
"preservar";0,11;0,17
"força";0,85;0,59
"chamado";0,32;0,17
"perceber";0,34;0,25
"caminho";0,47;0,67
"ideia";0,57;0,67
"falta";0,44;0,71
"redução";0,44;0,38
"unido";0,68;0,92
"confiança";0,28;0,21
"eua";0,93;1,09
"vencer";0,23;0,25
"dar";1,74;1,64
"mandato";0,32;0,42
"lá";0,25;0,5
"que";35,63;38,01
"atenção";0,23;0,21
"próximo";0,81;0,25
"discutir";0,21;0,13
"negro";0,34;0,04
"eleger";0,21;0,29
"petrobras";0,57;1,22
"incentivo";0,09;0,29
"mil";0,47;0,21
"milhão";0,42;0,5
"isto";0,34;0,21
"autoritarismo";0,25;0,08
"experiência";0,17;0,04
"tributário";0,23;0,17
"conspiração";0,11;0,38
"petista";0,19;0,04
"controlo";0,44;0,67
"esforço";0,3;0,25
"fator";0,15;0,13
"climático";0,15;0,17
"ao";6,42;5,3
"república";0,57;0,55
"externo";0,08;0,38
"homem";0,27;0,13
"rodrigo";0,08;0,38
"sete";0,06;0,29
"resultado";0,78;0,42
"executivo";0,4;0,21
"resolver";0,21;0,21
"farmacêutico";0,19;0
"simples";0,11;0,25
"também";2,6;2,44
"desenvolvimento";0,28;0,42
"quanto";0,64;0,42
"aberto";0,28;0,25
"insumo";0,17;0,25
"duro";0,17;0,21
"povo";0,51;0,97
"popularidade";0,21;0,29
"costumar";0,27;0
"membro";0,25;0,25
"tratar";0,44;0,59
"decidir";0,23;0,17
"acordo";0,38;0,76
"enfrentar";0,44;0,55
"preparar";0,17;0,25
"março";0,17;0,21
"dólar";0,3;0,55
"supremo";0,3;0,67
"parlamento";0,11;0,5
"outro";2,92;2,35
"saber";0,83;0,84
"pouco";0,95;0,88
"me";0,74;0,38
"política";2,48;2,82
"político";3,22;2,27
"ambos";0,17;0,17
"origem";0,15;0,08
"vitória";0,28;0,13
"histórico";0,28;0,13
"tendência";0,19;0,08
"nunca";0,59;0,55
"acontecer";0,97;0,46
"combate";0,21;0,34
"movimento";0,61;0,55
"capaz";0,34;0,38
"concorrer";0,19;0,04
"lançar";0,21;0,21
"após";0,49;0,67
"crescer";0,4;0,17
"uscifrão";0,21;0,13
"ignorar";0,15;0,08
"companhia";0,08;0,29
"caber";0,13;0,21
"escritor";0,4;0
"manifestação";0,21;0,21
"acreditar";0,78;0,8
"alguma";0,66;0,46
"renda";0,28;0,08
"news";0,36;0,13
"justificar";0,19;0,08
"resposta";0,3;0,29
"esperança";0,23;0,04
"republicano";1,02;0,46
"ishiguro";0,23;0
"tesouro";0,13;0,25
"privatização";0,09;0,21
"exterior";0,11;0,29
"eleitor";0,27;0,29
"antigo";0,23;0,17
"afetar";0,19;0,08
"dado";0,15;0,08
"cultural";0,25;0,25
"especialmente";0,34;0,17
"lutar";0,13;0,17
"necessidade";0,3;0,25
"gestão";0,53;0,63
"ela";1,06;1,01
"ele";4,51;4,79
"aprender";0,3;0,04
"espaço";0,49;0,5
"despesa";0,28;0,21
"baleia";0,21;0,04
"gostar";0,13;0,34
"50";0,15;0,17
"rio";0,15;0,34
"mão";0,15;0,29
"município";0,13;0,13
"algo";0,45;0,71
"esperar";0,47;0,67
"ajuda";0,25;0,34
"6";0,25;0,04
"populismo";1,86;2,06
"devido";0,23;0,25
"plataforma";0,13;0,17
"vivo";0,17;0,13
"penal";0,04;0,34
"regime";0,49;0,42
"junto";0,15;0,17
"direção";0,3;0,04
"pauta";0,23;0,25
"quase";0,57;0,59
"dez";0,34;0,04
"cenário";0,66;0,25
"melhor";0,59;0,71
"semana";0,38;0,84
"pensar";0,4;0,21
"garantia";0,13;0,25
"audiência";0,15;0,13
"garantir";0,32;0,46
"seguinte";0,17;0,04
"tribunal";0,44;0,38
"produção";0,25;0,08
"figura";0,4;0,08
"trump";2,29;1,81
"elevação";0,19;0,08
"construir";0,19;0,17
"impacto";0,45;0,17
"determinado";0,21;0,08
"estudo";0,21;0,04
"voltar";0,72;0,59
"civil";0,36;0,46
"passar";1,04;1,14
"maior";1,12;1,64
"adversário";0,11;0,46
"covid_19";0,68;0,5
"emprego";0,3;0,21
"pandemia";1,59;2,35
"ameaça";0,4;0,38
"avaliar";0,27;0,13
"contribuir";0,15;0,13
"aceitar";0,11;0,42
"ano";3,43;2,56
"politicamente";0,09;0,21
"frio";0,15;0,29
"liderar";0,23;0,34
"mercado";1,76;1,26
"qualquer";0,76;0,8
"ouvir";0,17;0,13
"crime";0,38;0,38
"administração";0,17;0,29
"liderança";0,23;0,46
"declínio";0,17;0,21
"educação";0,55;0,29
"ódio";0,17;0,21
"médico";0,13;0,13
"índice";0,11;0,17
"federal";0,89;0,67
"descobrir";0,13;0,17
"câmara";0,57;0,8
"como";9;8,03
"joe";0,27;0,17
"por";13,76;13,12
"acabar";0,7;0,5
"verdadeiro";0,21;0,17
"casa";0,61;0,46
"caso";1,19;1,35
"prisão";0,11;0,17
"errado";0,15;0,17
"fácil";0,19;0,34
"golpe";0,3;0,42
"consumidor";0,09;0,29
"luta";0,11;0,25
"recuperação";0,23;0,17
"prejuízo";0,08;0,25
"ciência";0,3;0,17
"tanto";0,74;0,67
"teoria";0,21;0,21
"legal";0,25;0,13
"eletrobras";0,04;0,59
"populista";1,02;1,64
"último";1,14;1,14
"ex_presidente";0,47;0,42
"opinião";0,15;0,21
"defesa";0,32;0,42
"5";0,4;0,76
"isolamento";0,21;0,17
"grupo";0,97;0,97
"velho";0,19;0,21
"maioria";0,44;0,63
"sociedade";0,74;1,18
"existir";0,61;0,46
"ter";9,53;10,01
"sua";4,15;3,99
"sul";0,17;0,04
"contexto";0,23;0,13
"jato";0,19;0,04
"avaliação";0,25;0,04
"evitar";0,32;0,59
"influenciar";0,15;0,21
"texto";0,25;0,13
"provocar";0,15;0,29
"começar";0,68;0,38
