"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"considerar";-2,562;0,027;-0,851;0,211;2,376
"bom";0,254;1,734;-3,253;1,25;-2,208
"bem";-1,904;-0,017;-2,372;17,24;-4,33
"acabar";7,314;-8,219;-3,106;0,055;2,678
"melhor";4,054;0,152;-5,36;2,369;-3,898
"global";-2,263;-0,005;0,284;0,46;0,034
"covid_19";-5,046;17,981;-0,429;0;-2,468
"china";-3,239;-9,596;-4,233;-6,081;85,934
"aumentar";-1,27;32,284;-4,875;-0,584;-3,268
"alto";-3,744;80,448;-1,612;-9,164;-6,374
"agenda";28,18;2,304;-0,349;-7,018;-7,371
"humano";-3,503;-2,469;18,035;0,004;-0,24
"auxílio";-8,199;185,288;-7,208;-20,067;-11,411
"apoio";3,433;-0,022;-0,759;-5,902;4,077
"sistema";-3,239;-0,06;9,514;0;-0,59
"mês";-5,046;11,731;-4,233;-10,016;16,405
"livro";-2,262;-8,098;-0,635;23,562;-0,546
"ideia";-0,719;-0,336;-4,074;13,158;-1,214
"ganhar";-1,27;-10,598;1,84;0,055;7,755
"financeiro";87,312;-0,977;-5,037;-8,027;-5,03
"emergencial";-1,972;138,286;-6,542;-18,212;-10,356
"decisão";19,865;-5,534;-0,05;-0,119;-1,217
"ação";10,452;1,226;0,007;-4,067;-3,064
"possível";-0,492;1,038;-0,759;1,522;-1,087
"mídia";-3,072;-4,978;-0,016;18,793;-1,214
"movimento";-1,972;-2,333;-0,505;3,777;1,309
"investimento";2,546;35,173;-5,877;-8,731;-3,231
"frente";1,092;0,11;-3,915;-7,116;12,248
"começar";-5,781;1,981;-4,875;3,609;0,239
"claro";-1,831;-3,514;-0,035;5,882;0,191
"violência";-4,68;-1,802;5,47;0,842;0,041
"república";-0,157;1,826;8,921;-3,217;-2,187
"lado";-2,582;-1,469;2,416;0,004;1,507
"internacional";-4,499;-2,897;-0,23;10,388;0,085
"gestão";1,543;-0,102;0,454;-0,223;-0,704
"existir";-4,136;0,027;-0,126;15,367;-6,419
"casa";0,034;-3,182;-2,817;-0,257;13,074
"campanha";-4,499;0;0,959;-4,964;13,191
"seguir";-1,972;-3,725;-2,671;0,048;18,631
"preciso";13,511;-0,336;-6,209;-0,07;-0,083
"população";-4,68;2,516;5,47;0,842;-7,188
"jornalista";0,694;-8,347;26,487;-0,882;-1,55
"criar";-4,317;7,063;-0,83;2,37;-3,016
"usar";-4,317;0,258;0,006;5,183;-1,724
"sair";-0,622;-0,256;0,809;0,04;0,041
"rede";-1,554;-3,1;14,273;0,04;-0,385
"número";0,125;20,989;-0,234;-5,416;-3,028
"guerra";-5,046;-1,122;-1,26;4,309;2,694
"esperar";6,374;2,857;-5,877;-11,011;3,847
"constituição";-6,685;1,603;34,122;-4,964;-1,904
"cenário";3,483;7,419;-0,016;-7,52;-1,214
"caminho";-1,691;2,205;-4,074;-2,824;11,368
"vacinação";-1,95;29,806;-0,458;-4,773;-1,059
"setor";1,022;23,404;-3,127;-1,242;-8,256
"semana";-0,529;2,857;-5,877;-0,6;3,847
"produto";-0,231;26,441;-2,055;-0,566;-6,431
"presidência";2,007;-0,614;-1,758;-1,99;5,099
"falta";-0,009;3,34;-2,357;0,479;-1,422
"donald";-4,136;-8,347;-0,73;-10,124;82,169
"certo";-2,582;-0,612;-0,175;6,996;-0,217
"branco";3,727;-4,573;-2,509;-0,073;4,17
"ponto";-6,12;-0,036;46,453;-0,698;-6,164
"guedes";100,18;-0,028;-1,148;-17,286;-9,83
"controlo";0,011;10,094;-0,458;-3,217;-0,336
"gasto";-0,285;82,898;-5,381;-12,187;-6,164
"folha";27,929;-1,156;0,048;-7,466;-0,546
"espaço";0,444;0,175;0,243;-2,254;0,085
"acordo";-6,308;-0,502;-1,835;-4,246;42,085
"visão";12,992;-0,225;-0,024;0,026;-7,995
"tratar";-5,557;0,005;4,183;2,192;-1,989
"situação";-0,217;0,629;-0,05;1,431;-2,389
"polícia";-3,689;-1,156;0,639;-4,133;19,67
"pior";0,444;1,603;-3,756;3,131;-4,906
"gerar";-0,529;45,952;-2,108;-3,477;-6,931
"década";-0,002;-3,844;-0,635;1,125;2,076
"chamar";-1,95;-1,925;0,137;0,306;2,783
"regime";1,719;-4,068;2,709;0,033;-0,665
"produzir";-3,689;1,422;-0,251;0,779;-0,001
"mudar";-1,95;-5,292;-2,972;23,588;-0,336
"mudança";0,041;6,443;-0,932;-0,169;-1,904
"enfrentar";-0,919;4,586;0,086;0,002;-2,389
"educação";-3,241;83,325;-4,72;-5,819;-7,473
"debate";0,269;-2,113;0,653;1,431;-1,217
"baixo";-2,105;19,258;-3,127;-0,119;-1,217
"ataque";-5,932;-7,85;147,474;-7,049;-5,909
"aprovar";0,071;28,668;-4,72;-10,373;0,003
"uso";-4,061;4,034;9,433;-0,698;-3,403
"trazer";0,19;6,079;-5,381;0,464;-2,595
"tomar";2,259;-3,621;-1,57;-0,119;3,981
"professor";-5,182;-2,751;5,147;1,891;0,023
"permitir";-0,062;0,027;-0,302;1,504;-0,766
"morte";-4,994;14,306;-0,95;0,075;-1,422
"liberalismo";-0,285;-8,098;53,628;-0,006;-8,518
"inflação";-0,217;71,112;-5,215;-7,049;-8,256
"expressão";-5,932;-5,534;112,319;-7,049;-2,389
"ex_presidente";22,33;-6,609;0,021;-3,316;0,063
"contrário";-0,285;0,064;5,054;-2,542;0,018
"ambiente";0,56;0,258;-0,83;2,37;-4,666
"viver";-5,369;-4,812;0;23,668;-1,795
"termo";-4,621;-2,124;6,976;10,004;-6,431
"recurso";-0,009;32,914;-0,95;-5,017;-4,645
"receber";0,034;-3,182;-2,817;0,47;5,04
"pesquisa";0,897;2,154;-1,611;-1,687;0,082
"papel";-1,95;-7,601;3,764;4,487;-0,017
"milhão";-0,588;6,369;-2,662;-1,438;0,967
"futuro";-0,804;0,192;-0,458;2,983;-1,059
"entrar";3,304;-7,105;-1,19;1,504;0,269
"energia";7,381;24,466;-4,226;-6,64;-6,691
"combustível";1,975;67,561;-5,381;-14,979;-8,518
"cargo";-0,588;-4,812;0,283;-7,933;31,693
"campo";-2,105;-0,308;11,453;1,431;-5,909
"tema";-4,807;-0,001;-2,205;18,066;-2,579
"século";-3,064;-6,857;0,381;18,101;-1,606
"responsabilidade";0,125;1,492;1,364;-0,465;-3,028
"reduzir";0,001;23,404;-1,57;-2,249;-3,953
"necessário";-0,03;9,869;0,381;-2,263;-3,028
"impedir";2,573;0;-0,458;-3,217;1,485
"general";17,115;-5,867;0,161;-8,124;2,551
"europeu";-1,647;-1,563;-4,72;-4,032;43,019
"apresentar";-0,395;-0,016;1,604;0,075;-0,506
"tribunal";-0,603;3,001;3,136;-0,376;-3,327
"supremo";2,984;-1,942;-0,012;-0,132;0,11
"redução";-0,105;26,781;-0,377;-6,226;-1,989
"pt";10,456;-5,052;-2,817;1,173;-0,246
"proposta";-2,888;32,914;-0,95;-3,316;-1,422
"programa";0,536;18,593;-0,037;-5,791;-3,897
"polarização";-2,888;-0,016;5,7;2,339;-4,645
"modo";0,196;-0,379;8,689;0,075;-6,951
"incluir";-2,194;0,646;-0,517;-1,99;7,724
"europa";-5,744;-0,867;-5,05;-8,804;70,761
"democrata";-5,744;-5,292;0,798;-1,023;23,187
"recente";0,536;0,028;-1,905;2,525;-2,143
"lira";0,238;-1,581;-2,427;5,977;-0,451
"instituto";0,84;-0,956;-0,308;0,652;-0,098
"evitar";-3,241;-0,094;0,283;-2,572;10,933
"estatal";107,74;-1,922;-3,898;-10,852;-6,171
"escrever";-0,813;-3,392;-1,758;12,792;-0,121
"cair";6,782;5,127;-0,458;-1,967;-5,655
"volta";1,692;0,406;-2,662;-0,153;0,003
"subir";3,727;36,257;-4,556;-7,5;-7,212
"representar";-1,355;-0,016;0,499;2,339;-1,422
"lugar";-0,105;-5,052;-2,817;7,147;0,764
"forte";-1,5;-0,048;-0,234;-1,195;8,925
"crítica";-0,588;-1,563;18,649;-1,438;-0,169
"civil";-4,807;-0,282;1,876;4,481;-1,244
"apoiar";-2,539;-0,902;-0,725;-0,566;15,713
"ameaça";0,615;1,229;10,475;-10,373;-0,766
"sinal";3,727;-0,488;-1,068;-0,465;0,389
"sentido";-4,807;-2,33;-0,118;18,066;-1,244
"senado";-3,131;0,179;-2,753;-7,664;33,422
"romance";-2,206;-2,919;-1,939;26,948;-3,07
"real";0,027;28,601;-1,905;-5,791;-2,143
"publicar";0,458;-0,98;0,833;2,426;-4,875
"protesto";-4,621;-0,195;-0,072;0,014;6,071
"posse";-0,104;-3,392;-0,517;-7,677;34,875
"pequeno";3,486;-1,922;-3,898;4,133;-0,909
"oposição";-2,713;-2,33;1,876;-0,757;7,882
"ocorrer";-0,309;-1,058;-0,118;1,596;0,126
"ministério";0,318;16,22;-0,251;-4,133;-2,915
"maneira";-4,621;0,329;0,098;3,451;-1,073
"juro";-0,395;75,157;-4,391;-9,471;-6,951
"inteligência";0,279;-0,97;0,417;-0,066;0,055
"imposto";-2,713;24,466;-0,835;-6,64;0,126
"explicar";-0,162;0,028;-0,618;1,311;-0,197
"estratégia";-5,369;-1,563;18,649;-0,632;0,269
"dólar";8,157;21,478;-4,062;-8,572;-4,145
"crime";0,853;2,729;0,207;-1,412;-2,197
"crescimento";-0,009;22,655;-2,357;-3,316;-1,422
"único";-2,713;0,928;-0,835;4,481;-1,244
"tradicionalismo";-3,131;-4,143;-2,753;26,336;-0,769
"regra";0,701;0,075;-0,013;-0,254;-0,121
"presidencial";-4,621;-6,114;-0,725;-6,214;63,422
"limite";-2,539;13,098;-2,055;0,305;-2,359
"lembrar";-0,942;-0,123;-0,037;1,311;0,004
"início";5,289;0,004;0,098;-0,566;-2,359
"intervenção";54,797;-0,379;0,021;-9,471;-6,951
"impacto";-1,214;41,474;-2,205;-1,682;-6,691
"garantir";1,13;-0,003;-1,467;-0,501;0,899
"final";-2,713;0,928;-4,226;0;5,369
"banco";18,951;6,036;-4,226;-4,623;-4,395
"ajudar";-2,539;-2,124;2,182;0,305;0,929
"vender";52,024;-1,723;-3,734;-1,99;-3,649
"responder";0,458;0,57;-1,184;0,004;-0,24
"possibilidade";0,006;1,168;-0,725;-0,101;-0,001
"mandato";-0,309;-1,058;9,501;-0,757;-0,018
"interesse";-0,162;-1,922;20,787;-2,306;-0,197
"defesa";0,318;-2,697;36,005;-6,344;-1,32
"central";-0,309;3,837;-2,205;0;-0,018
"capaz";-0,162;0,028;-1,905;6,135;-2,143
"vista";-0,813;-1,723;28,59;-1,99;-0,754
"união";0,399;6,78;-2,055;-11,309;3,857
"temer";41,052;-3,626;-1,905;-1,155;-2,143
"stf";-1,652;-2,186;13,17;0,774;-2,299
"pensar";-0,942;-3,626;-0,618;14,506;-0,909
"nível";-4,247;5,715;0,244;-0,254;-0,121
"notícia";1,41;0,004;-0,725;0,014;-0,287
"ideológico";1,689;-5,867;11,366;0,066;-3,897
"golpe";-0,231;-2,124;10,39;-6,214;3,857
"executivo";0,066;30,968;-1,758;-5,371;-3,649
"empresário";34,101;1,449;-3,898;-8,124;-2,143
"depender";-3,875;-0,365;0,48;4,569;-0,472
"constitucional";-1,524;0,57;47,806;-8,573;-4,875
"capacidade";-3,689;16,22;4,409;-4,133;-2,915
"autor";-0,942;-5,867;-0,618;18,085;-0,909
"artigo";-0,056;-0,484;13,627;-0,138;-3,403
"valer";1,405;0,003;2,102;-0,008;-5,134
"turno";8,307;-1,34;-1,467;-1,398;0,899
"tentativa";0,897;-0,484;3,353;-4,954;0,67
"significar";-3,317;4,354;-1,046;-0,084;0,629
"queda";-2,366;10,732;-0,618;-0,398;-0,197
"prático";-0,571;-2,927;14,942;-0,055;-0,472
"preocupação";-0,022;19,156;-0,332;-4,541;-1,518
"prazo";-1,855;51,035;-1,467;-4,541;-5,393
"plano";0,701;-0,065;-1,758;-5,371;10,891
"nome";3,808;-0,98;2,495;-5,903;0,43
"médio";-2,539;2,523;-0,725;3,451;-2,359
"moderno";-4,434;-3,626;2,526;14,506;-3,897
"itália";-4,061;-1,529;-3,57;-7,232;59,953
"italiano";-0,689;-5,374;-3,57;-0,698;31,498
"geração";-2,024;0,859;-3,57;14,436;-5,652
"geral";0,209;-0,365;-0,332;6,822;-5,393
"fossar";-3,875;1,116;3,848;-1,398;0,162
"encontrar";0,701;0,075;-0,517;-0,916;0,483
"desigualdade";-0,942;0,47;-3,898;14,506;-6,171
"desenvolvimento";0,126;-0,484;0,349;3,785;-5,652
"crescer";-4,247;-0,065;-1,758;12,792;-0,754
"cidadão";-3,875;-1,34;6,741;2,767;-1,518
"base";-0,571;-0,003;14,942;-2,745;-0,472
"assumir";-0,813;-1,723;-1,758;1,715;3,017
"amigo";0,02;-2,243;-0,114;5,154;-0,945
"ambiental";-0,056;-0,024;-3,57;5,804;-0,608
"área";1,13;2,591;0,48;-2,745;-1,518
"vírus";-3,689;16,22;-0,251;-4,133;0,277
"tipo";-0,46;-1,156;2,102;1,872;-1,32
"taxa";-2,366;71,504;-3,898;-8,124;-3,897
"responsável";2,106;2,218;-0,114;-0,084;-4,616
"região";-4,434;-5,867;-3,898;6,135;9,784
"realidade";-3,875;-1,34;-0,332;16,279;-1,518
"posição";0,027;-1,922;2,526;-0,398;0,333
"perceber";-1,524;-4,635;0,833;9,32;-1,129
"organização";-4,434;-5,867;11,366;1,311;0,004
"nação";0,126;-3,159;-0,422;1,038;0,67
"mentira";0,318;-4,881;22,092;-4,133;-0,001
"justiça";0,316;-0,404;7,087;-0,32;-2,299
"família";2,787;1,116;0,003;-2,745;-0,472
"extremo";-4,247;-5,62;-0,517;9,754;1,479
"avanço";0,318;0,391;0,022;0,157;-2,915
"ato";0,02;-0,092;5,77;-8,118;1,909
"washington";-3,875;-5,127;-3,406;-6,787;73,6
"usado";-0,603;0,108;11,433;-3,302;-0,194
"transformar";-0,003;-2,697;-1,324;5,476;-0,001
"resposta";-3,875;-1,34;0,003;4,569;0,162
"prever";-0,46;5,412;0,022;-0,008;-2,915
"pedir";2,787;-2,927;0,003;-0,501;0,899
"partir";-1,202;-0,037;0,207;-1,412;4,62
"livre";-2,194;-1,723;8,529;-0,916;1,479
"liderança";-3,875;-5,127;3,848;6,822;-0,472
"jornal";9,295;-4,881;0,639;0,779;-5,134
"investidor";85,422;-1,529;-3,57;-7,232;-5,652
"impor";2,55;2,729;-0,062;-5,025;-0,074
"figura";-1,688;-2,697;0,639;5,476;-0,349
"entrevista";2,106;-0,81;-1,046;0,049;0,042
"economista";25,958;4,034;-3,57;-4,954;-5,652
"diferença";-0,689;-1,529;-3,57;11,129;-0,061
"custo";-0,46;55,193;-1,324;-9,028;-5,134
"corrupção";-0,015;-3,408;-2,264;7,341;0,011
"conservador";-3,875;-5,127;14,942;0,058;0,162
"conselho";47,23;-3,159;-1,611;-4,954;-0,608
"cientista";-2,946;-3,898;-0,025;4,839;1,197
"centro";0,635;-4,389;-2,916;7,741;-0,147
"américa";-4,247;-5,62;-3,734;20,101;0,483
"adotar";-0,571;-0,003;-1,467;4,569;-0,472
"acesso";-2,761;-1,581;-0,003;9,032;-0,451
"abrir";-1,688;8,372;-3,243;-4,133;4,846
"série";-0,893;-1,581;-0,003;12,714;-3,842
"sol";-0,549;-0,727;-0,483;1,797;0,316
"serviço";-1,361;39,292;-2,916;-8,118;-0,147
"sanitário";0,002;3,679;0,06;-0,873;-1,129
"razão";-1,361;4,354;-1,046;0,539;-0,945
"pressão";10,405;1,786;-0,177;-5,903;-1,129
"obra";-1,045;-0,006;-0,78;0,327;1,197
"news";9,865;-1,798;4,088;-4,59;-0,604
"necessidade";-1,688;0,003;4,409;0,157;-1,32
"juiz";-1,045;-1,798;1,678;0,327;0,221
"janeiro";-1,524;3,679;0,833;-8,573;3,246
"inimigo";0,126;-3,159;9,433;0,008;-1,722
"filho";-1,361;-4,389;0,121;1,553;1,909
"esforço";-1,688;5,412;-0,251;-0,331;-0,001
"entender";-0,022;-1,34;-1,467;12,677;-3,158
"decreto";1,625;2,695;0,318;-2,058;-2,556
"comercial";-3,689;-1,156;-3,243;-6,344;52,231
"causa";-1,524;0,03;0,833;0,315;-0,24
"apontar";-0,003;-1,156;-0,251;5,476;-1,32
"tirar";-0,46;1,422;-0,251;-0,331;0,277
"tender";-1,855;-1,34;3,848;0,511;-0,02
"sofrer";0,853;-0,65;6,599;-0,438;-2,197
"período";-0,571;0,253;1,761;-1,398;0,162
"ordem";-1,202;-2,019;15,827;-0,438;-0,074
"importar";-1,652;0,043;-0,057;5,405;-2,299
"governador";0,02;0,087;0,121;-0,084;-0,147
"fundo";7,618;-0,092;-2,916;-0,642;0,042
"estabelecer";-0,46;0,003;16,403;-1,126;-2,915
"escritor";-2,39;-3,163;-2,102;29,206;-3,327
"emprego";0,063;43,144;-2,753;-7,664;-4,358
"eleitor";-0,003;-4,881;-1,324;0,779;4,846
"desafio";-3,875;-0,003;0,48;0,058;0,899
"derrota";-3,689;-1,156;-3,243;-4,133;44,472
"criticar";1,13;-2,927;26,364;-6,787;-0,472
"coronavírus";-3,131;1,076;-0,062;0,843;-0,074
"conta";0,002;9,494;0,06;-2,053;-2,674
"condição";-1,045;1,422;-0,025;-0,264;0,221
"comando";21,237;-1,158;-2,102;-1,477;-0,194
"científico";-3,131;-2,019;10,716;2,088;-2,197
"chance";22,312;-2,243;-2,916;-0,642;-0,147
"chamado";3,69;-3,653;0,479;1,753;-3,842
"anterior";-0,179;-2,019;-0,062;3,888;-0,074
"ajuda";2,106;-0,81;0,121;-0,084;-0,147
"aberto";0,063;-0,037;-0,911;-0,018;0,881
"sugerir";-2,946;-0,501;-0,025;0,001;5,483
"retorno";1,122;-0,006;-0,025;-1,117;0,221
"petróleo";0,458;35,87;-3,079;-5,903;-4,875
"pesquisador";-2,206;-2,919;3,837;0,033;1,269
"neoliberal";-3,503;-0,98;91,806;-8,573;-4,875
"milícia";0,063;-2,019;29,026;-2,941;-2,197
"manaus";-2,021;13,734;-1,777;-0,069;-0,857
"liderar";-0,052;-0,364;-2,427;-0,128;6,495
"koch";-2,946;-1,798;-2,59;1,242;8,794
"investir";18,126;0,043;-1,452;-1,66;-2,299
"indústria";0,013;3,784;-1,939;-0,198;-0,098
"escola";-1,524;-0,167;-1,184;9,32;-1,129
"ditadura";-3,131;-0,037;21,93;-5,025;0,111
"dinheiro";3,263;0,391;-3,243;-0,331;-0,001
"dilma";18,413;5,412;-3,243;-6,344;-2,915
"despesa";-0,357;59,812;-3,079;-8,573;-4,875
"corte";-1,202;-0,65;3,475;-1,412;2,384
"confiança";9,295;0,003;-1,324;-4,133;0,277
"ciência";-3,317;-0,092;0,121;7,741;-2,434
"cidade";-0,745;-0,243;-2,264;7,341;-0,314
"aprovação";0,458;13,416;-0,177;-8,573;-0,24
"apoiador";-1,524;-4,635;0,06;1,122;3,246
"senador";-2,575;-1,367;-2,264;-6,303;45,862
"rico";-3,131;2,729;0,207;-0,018;-0,074
"popular";-1,524;6,249;0,833;-0,19;-2,674
"pec";-3,317;74,958;-2,916;-8,118;-4,616
"negro";-1,045;-1,798;-0,78;7,522;-0,024
"mundial";-1,361;0,795;-2,916;-0,642;6,545
"membro";14,922;-2,469;-1,184;-5,903;3,246
"local";-2,761;-0,364;8,652;-4,157;3,627
"fundamental";-3,317;-0,092;14,229;0,049;-2,434
"evento";-1,524;-2,469;0,833;0,315;1,51
"estimular";-0,052;0,497;-0,003;-6,757;6,495
"equipa";33,343;1,786;-3,079;-8,573;-2,674
"diverso";5,154;-2,019;6,599;-1,412;-2,197
"cultural";-3,131;-4,143;-0,911;32,02;-4,358
"controlar";-1,202;12,219;-0,062;-1,412;-0,769
"consequência";-2,946;9,563;-0,78;0,327;-1,963
"conhecido";-1,045;-1,798;-2,59;0,001;12,882
"combate";-2,575;4,905;-0,531;0,94;-1,505
"clima";0,02;-0,81;-0,114;-0,642;3,881
"ciclo";-2,946;-1,798;-0,78;14,655;-0,604
"centrão";0,02;2,218;-0,114;-5,463;1,909
"carta";0,02;-2,243;2,949;-8,118;9,901
"ativo";14,705;0,313;-0,025;-2,559;-4,1
"atingir";-0,262;4,354;-2,916;-0,084;0,042
"acusar";1,853;-3,408;0,678;0,152;-0,314
"índio";-1,652;-0,404;-1,452;0,025;6,948
"votar";-1,045;-0,501;0,324;-7,21;17,749
"vitória";-1,045;-3,898;-0,78;0,001;12,882
